Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Year
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936,30716,196631588,92.0,84274754,1713126,5767700,651565900,5332281936,150597040,210.0,40975,684,62.0,17598718,114.0,18004655,22931,2669262,0,2024
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884,28113,174597137,92.0,116347040,3486739,674700,35223547,208339025,156380351,188.0,40778,3,67.0,10422430,111.0,7780028,28444,1118279,1,2024
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283,54331,211607669,92.0,122599116,2228730,3025400,275154237,3369120610,373784955,190.0,74333,536,136.0,36321847,172.0,5022621,5639,5285340,0,2024
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633,269802,136569078,85.0,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394.0,1474799,2182,264.0,24684248,210.0,190260277,203384,11822942,0,2023
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922,7223,151469874,88.0,77373957,3670188,16400,,,112763851,182.0,12185,1,82.0,17660624,105.0,4493884,7006,457017,1,2024
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438,105892,175421034,83.0,131148091,1392593,4202367,214943489,2938686633,2867222632,138.0,522042,4654,86.0,17167254,152.0,138529362,50982,4517131,1,2023
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751,73118,201585714,86.0,308723145,4120760,,29584940,534915313,4601579812,280.0,383478,429,168.0,48197850,154.0,65447476,57372,9990302,0,2024
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153,40094,211236940,92.0,228382568,1439495,3500000,338546668,3804584163,2112581620,160.0,17221,30,87.0,33245595,53.0,3372428,5762,6063523,1,2024
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119,1,15,,,,,,,,,,,,,,,,,1,2024
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573,10400,184199419,86.0,32735244,988682,325800,121574500,974656200,174706874,191.0,3823,117,78.0,10800098,92.0,1005626,842,666302,1,2024
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413,16219,168766158,91.0,32229063,550191,,184500,2100000,327130768,157.0,62312,71,60.0,12009073,114.0,23155471,21172,963413,1,2024
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129,2,263767,,,,,,,,,,,,,2.0,,,,1,2024
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195,13800,197280692,92.0,40022524,1307290,195300,45889000,360017000,342107131,244.0,41344,45,138.0,38243636,163.0,1354692,1219,450344,0,2024
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436,43025,108168634,88.0,98081493,1456177,,,,174491415,153.0,90237,3,55.0,3001826,109.0,26252264,18364,1963314,1,2024
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185,277,24445,12.0,6736502312,16785489,3,1088,22234,,1.0,1057,,,,,,,3288,0,2022
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569,103605,79944921,79.0,934302031,4294166,11054500,521725116,7499234052,2042145659,94.0,92231,228,60.0,5633435,83.0,12171026,13242,2765808,1,2023
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400,12784,177932568,89.0,104673836,2484083,139300,25348800,207317000,268893710,221.0,129968,3,99.0,37988531,134.0,9961769,13437,1210029,0,2024
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694,105218,198845580,87.0,141646818,1514837,2294429,419319161,5456156211,2667285437,207.0,667329,3310,188.0,21788568,150.0,44850379,12270,6973652,1,2023
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461,6499,52287548,86.0,16038053,569377,941900,119740900,1225345800,5839168,76.0,181,1,24.0,5054005,33.0,283089,162,257661,0,2024
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535,407119,169783402,87.0,800899315,9101589,2755903,1633970617,15405881843,7289707052,455.0,1777811,4909,330.0,12907852,189.0,132624772,79909,14967379,0,2022
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290.5,1065399331,170890,121712197,78.0,240970670,2749668,3091732,652428798,7095564106,1063591802,158.0,400899,273,143.0,13718632,146.0,70291476,49111,7559816,1,2023
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871,24425,262343414,95.0,107550212,1825761,209200,169144295,1379499000,422646034,298.0,37208,236,167.0,41414565,149.0,10362898,10848,1373085,1,2024
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,23,279.0,1655575417,10,655,,,,,,,,,,,,,,,,,1,2024
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,USSM12401302,24,278.9,426700979,34044,152928632,86.0,35724356,437980,1470500,485200392,6518604175,1213175656,159.0,309497,257,194.0,40725482,177.0,13860535,36282,2100708,1,2024
Future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,,1,2,,,,9453333,273236305,4306269694,,,,,,,,,,,0,2024
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759,3504,661084,35.0,4233958,69990,37621885,1636811753,22918660728,,1.0,,439,1.0,6,1.0,,,633525,0,2022
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266.3,3107100349,451732,134793519,78.0,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513.0,1510151,4096,166.0,5783693,128.0,196783487,124922,,1,2021
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,28,265.7,720822868,60945,7530769,71.0,16322756555,48757673,7743800,281762094,6577639193,2166611,33.0,284,142,19.0,52179,17.0,86458847,2234137,2064420,0,2015
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364,26203,197494995,87.0,156882014,3080503,,,,578568464,194.0,200230,32,117.0,22062193,126.0,10106573,7689,1579980,0,2024
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256.0,1003215671,128,485454,,,,,,,,,,,,,,179867721,87209,4474248,1,2024
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,TCJPA2406007,31,249.8,1645079292,,,,,,,,,,,,,,,,,,,1,2024
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397,3479,25936342,82.0,359896095,4907193,212500,48327004,390081328,38798822,36.0,2188,32,3.0,347997,26.0,130743,592,191867,0,2024
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179,98450,150471020,83.0,265180930,2566846,2114363,369150956,3932956380,3031114430,225.0,486952,1215,180.0,19469488,188.0,40418532,27555,6447136,0,2023
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233.5,750154960,139141,103879363,79.0,118208096,1495758,1031447,196985853,2231749390,1745168821,163.0,378114,856,113.0,16295286,112.0,20228317,5331,7477917,0,2023
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231.6,532012790,23557,67488850,,62123098,923733,,,,384716227,221.0,151990,64,42.0,658517,47.0,31032977,23005,,0,2024
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230.0,479417905,7,1519,,,,,,,,,,,,,1.0,121250721,83632,3692067,0,2024
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522,25766,180237463,96.0,62694868,837616,,27811667,378313942,243895569,149.0,,141,58.0,26516005,146.0,21453034,30180,1707213,1,2024
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157,88239,180617454,87.0,139180960,1504385,396560,49060857,597513595,4016801205,215.0,605841,162,133.0,42675181,120.0,253538985,72429,10517831,0,2023
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727,188142,80392612,80.0,94699547,1222012,1237229,311252391,3281790327,140623676,123.0,265291,4003,40.0,2225409,88.0,64456799,20518,3945184,1,2023
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214.5,3071214106,375201,64901153,71.0,3366447481,27240268,10342366,393814740,5861939942,2428166573,549.0,573733,169,584.0,5749770,121.0,373294159,844198,44842636,0,2019
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645,10871,202626837,92.0,11033725,251373,251200,71078500,443104700,148058631,247.0,3400,8,67.0,11523335,125.0,840442,2592,285858,0,2024
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42,211.2,170970614,27827,5784546,41.0,22280037,334523,14348249,948225544,12196985599,,2.0,672,,4.0,35737,9.0,270610,3170,,1,2023
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422,262248,239957538,83.0,466080689,4324989,728093,54258768,1051836430,1425853925,285.0,935190,2487,207.0,6479623,168.0,139926990,31235,10973120,1,2022
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069,177800,85255689,82.0,274070101,3701289,2557115,285329503,2578518632,1205538057,163.0,259255,96,77.0,3413707,80.0,28924685,14634,8681350,0,2023
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304,105927,92834002,86.0,48093111,959175,3648759,857220853,5469808282,298259422,91.0,36285,2676,63.0,10874749,110.0,6151267,9160,2682219,0,2023
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441,2572,183043096,83.0,22374807,1026097,,188200,1200000,110446147,199.0,2359,2,73.0,13686074,98.0,360163,758,47115,1,2024
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205.1,493627071,45300,87874006,80.0,150571504,1575378,93500,35970610,386610043,3129834452,174.0,564640,405,146.0,28246184,127.0,25843941,3694,2389957,0,2023
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,48,204.4,1655575417,9,85,,,,,,,,,,,,,,,,,1,2024
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203.6,304929492,43923,46133083,69.0,61986821,921044,13872768,390207653,5684815935,19218089,78.0,92638,822,41.0,3467570,36.0,7444354,7188,2227494,1,2023
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203.5,1747093405,178114,49464650,74.0,9537135721,61799279,799338,78304409,1143297071,569548901,179.0,121234,116,145.0,1977014,118.0,266603596,2359900,19622551,0,2017
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320,17168,62516401,86.0,53604746,1846535,,,,174375427,65.0,6408,77,20.0,428378,31.0,3156727,4843,654482,1,2024
Panda Basi,Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52,200.3,104271,249,8585,25.0,2457026781,,190,36666,393580,,,12,,,,,,,1881,0,2023
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198.0,1391688322,163876,130963116,77.0,902742581,8099187,599,48035,2857920,750030685,316.0,1107265,,112.0,11937930,146.0,52073859,41487,3521951,0,2022
Shape of You,Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54,195.1,3909458734,316378,148037882,80.0,8013997219,45770887,2270315,194420058,2320856331,2294804623,465.0,402829,282,512.0,2710931,115.0,733565655,651557,1146246,0,2017
Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194.3,55346,42,16861,13.0,2432265978,8162101,,,,,,53,,,,,,,200,0,2023
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720,590392,165544011,83.0,833807130,10093211,2882064,337322563,3501177394,2258085924,859.0,1695240,1116,564.0,11701129,184.0,489299762,319634,28994660,0,2019
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57,192.3,1337619917,228295,64806723,80.0,193982443,2023998,423714,148085419,1268862678,444033037,152.0,952186,34,58.0,2134791,66.0,77382416,28694,6205060,1,2022
Dona Felicidade,Dona Felicidade,Patati Patatï¿,2024-06-04,QZNJW2423715,58,190.0,,2,41206,,52480069,82092,,,,,,,,1.0,1657,,,,,0,2024
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,TCJPA2420090,59,190.0,1655575417,1,3,,,,,,,,,,,,,,,,,1,2024
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60,189.1,1556275789,210583,95974138,74.0,254051906,3364206,2379787,683088623,7945975878,1524133775,203.0,718849,117,63.0,1616564,167.0,111398743,71335,10192485,0,2022
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61,187.9,,2,135,9.0,,,,,,,,,,,,,420235997,885123,,0,2024
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186.5,1384,2,801,,222076,5430,5013500,605320683,8811416708,,,,,,,,,,,0,2023
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033,2483,21046278,81.0,111310770,1724693,56600,61038623,393973528,32059104,40.0,709,13,7.0,544322,14.0,45515,100,63283,0,2024
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214877,64,184.8,1811990630,173358,67603671,79.0,1516863120,8870768,4506600,549886060,6470937272,934894575,124.0,77120,327,44.0,14871714,63.0,111324744,39123,3393920,1,2022
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65,181.4,199929812,4,98,,,,,,,,1.0,,,,,,390345308,399793,,1,2024
Calm Down,Calm Down,Rema,2022-02-10,NGA3B2214004,66,180.1,584427088,182994,19203258,68.0,1141904909,8766235,6129450,856216952,18216656774,2952879912,138.0,191634,759,53.0,3481756,45.0,98290873,46039,22563407,0,2022
CARNIVAL,CARNIVAL,ýý$,2024-02-08,QZ7XS2400012,67,179.6,466887055,53842,103935623,84.0,27688666,449112,,,,33817299,42.0,53333,,11.0,199915,29.0,1359484,11303,1982000,1,2024
Kill Bill,SOS,SZA,2022-12-08,USRC12204584,68,177.7,1873746537,190202,99546318,82.0,220538045,3153793,266430,152410048,1284413960,426461749,214.0,655242,5448,73.0,1304067,122.0,57350590,61270,4873832,0,2022
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177.6,891720245,114560,97542546,82.0,144741616,2761964,1443103,498822693,3998086216,1384310160,168.0,275119,68,108.0,10920686,111.0,39374594,19921,4476509,0,2023
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70,176.2,46567,252,21930,6.0,2038459981,6076902,,,,,2.0,29,,,,,1456,,903,0,2023
Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078,486278,112416489,82.0,1272898075,14947520,1416295,513334446,5518429969,4899313022,459.0,1414326,1434,170.0,11862378,95.0,122247640,160431,17848778,0,2020
In the End,Papercuts,Linkin Park,2024-04-12,USWB11201322,72,174.8,2045512421,97,488602,,,,,,,,,,,,,2.0,,,,0,2024
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73,174.3,946941510,100130,74836321,74.0,776436101,12951756,4210895,797017650,11936401096,457987382,110.0,165670,180,106.0,4971379,92.0,48806666,10225,2237762,0,2023
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,UKACT2330463,74,173.6,7909,38,15023,4.0,1999374091,5708577,,,,,,59,,,,,,,1412,0,2023
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170.3,1010494713,127393,18652312,67.0,3203314695,41487213,5757883,187301054,1981431049,939714925,63.0,49780,2195,64.0,397418,100.0,181784010,2022074,8856633,0,2019
un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170.2,1008495696,99381,57394938,75.0,878892413,4425283,796603,127651887,1669065906,1522934425,101.0,73481,225,42.0,5734172,81.0,55857743,15528,2283747,0,2023
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,NZAM02001128,77,168.9,,10230,1142937,,12489728,339414,42900000,919945708,12221514692,,,,,,,,5678792,,,0,2020
Sprinter,Sprinter - Single,Dave,2023-06-01,GBUM72305159,78,168.1,692512930,199828,55464762,78.0,219666692,2332307,731797,130560533,1254944697,918145630,155.0,42082,36,41.0,1790031,76.0,411656,3414,3093667,1,2023
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711,11028,144854768,90.0,19402457,997411,284,,,260377114,185.0,1008,,53.0,20737850,59.0,521322,698,388625,0,2024
TQG,TQG,KAROL G,2023-02-23,USUM72222541,80,167.8,1024381758,78554,69319589,78.0,1102289596,8953293,457111,15048444,248168852,1174053183,138.0,149584,38,84.0,8850320,131.0,68022934,16511,3488226,1,2023
Perfect,ýý (Deluxe),Ed Sheeran,2017-03-03,GBAHS1700024,81,167.5,2969999682,280165,116921604,81.0,6473698897,39632673,6642975,601244764,7647479866,1708317539,208.0,263386,129,343.0,1242581,102.0,617483078,595052,,0,2017
Pepas,Pepas,Farruko,2021-06-24,USSD12100307,82,167.3,1500499584,359502,125112486,74.0,1431591689,11553088,2866181,290811371,4067248819,782475986,258.0,240677,438,137.0,4015523,102.0,120046948,89582,17210946,1,2021
Peekaboo,Glide - Single,Dave Angel,2023-01-27,GBLTF2300027,83,167.2,8082,63,32758,,2055940513,4150967,,,,,1.0,13,,,,,,,442,0,2023
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,USE7D2300007,84,166.5,1215336974,129463,39814172,74.0,701880622,3831236,5416,550073,15373104,546259059,83.0,40153,227,24.0,4946338,61.0,84378219,53890,3435177,0,2023
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,USAT22305457,85,166.2,860026452,74769,139913794,80.0,173044031,1640319,175536,90924917,1227837850,1205266954,7.0,759185,1100,82.0,4067956,,64567514,22064,3199636,0,2023
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,MXF152300159,86,164.9,1032225805,94887,74469479,79.0,920878032,3118229,1031612,116003972,2416141351,1690231413,83.0,57941,177,42.0,3360878,48.0,55410702,27415,2635577,1,2023
redrum,american dream,21 Savage,2024-01-12,USSM12309164,87,164.8,428233003,57311,144298748,,105148629,1762297,87200,6732800,43993800,977638660,74.0,102457,56,48.0,4037475,60.0,16802867,11821,2490071,1,2024
Easy On Me,Easy On Me,Adele,2021-10-14,USSM12105970,88,163.2,1720918065,209635,93875458,73.0,1194846205,13561925,1912194,733101955,7860224413,6353555150,325.0,774277,1316,257.0,5323750,100.0,203324731,126594,7569155,0,2021
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214878,89,163.1,1514239759,190692,77283361,77.0,1366181141,9358441,1769068,475656543,5249863696,488048337,150.0,145640,920,44.0,5591928,108.0,69095169,81914,5133847,1,2022
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,USQX92302957,90,162.0,333202114,108322,41018697,68.0,203487345,2084532,928132,63253779,748253884,735908540,148.0,346411,146,30.0,1277729,60.0,90114807,46789,4207535,1,2023
Anti-Hero,Midnights,Taylor Swift,2022-10-21,USUG12205736,91,161.8,1563224246,117005,97456780,80.0,203259285,3482508,1302967,376660493,3864505972,724976542,261.0,1034319,1088,74.0,4457357,150.0,92338994,45974,4703179,0,2022
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,UYB282201028,92,161.7,1692951462,209490,88591675,78.0,1132539234,8795731,1212100,196608777,2054826154,56677146,99.0,138254,37,58.0,5211955,65.0,18052815,5213,6836893,0,2022
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,USA2P2413259,93,161.0,255076355,11500,90584540,86.0,202206901,2596912,,57656713,506476590,273521596,67.0,4716,137,9.0,423666,44.0,220481,1207,659825,0,2024
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,USSD12300307,94,158.2,275349653,37806,22826643,70.0,347506860,1553295,4349700,321239621,4767676439,2676837761,19.0,23875,96,37.0,3780737,29.0,5101044,5276,1245874,1,2023
La Diabla,La Diabla - Single,Xavi,2023-12-02,USA2P2357356,95,155.9,649404552,27544,47789063,83.0,433839212,2750086,,414833,10603563,1795939912,29.0,16287,462,34.0,16509806,26.0,22603598,29401,1380069,0,2023
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,GBAYE2300015,96,153.6,851085705,129047,50996176,70.0,211810152,2461166,3502547,955272568,8781020473,806434641,162.0,223173,6243,65.0,8655684,130.0,10207007,36847,2580691,1,2023
Snooze,SOS,SZA,2022-12-09,USRC12204591,97,153.3,1013350808,108036,86470319,84.0,390677417,2521214,402338,97819766,887803828,560893301,154.0,559589,513,60.0,2707900,61.0,74611167,85113,3129609,1,2022
BELLAKEO,BELLAKEO,Peso Pluma,2023-12-07,QMFMF2388143,98,153.1,359803580,26065,79152427,86.0,369321334,1839225,720800,74164945,874056250,4123457278,40.0,16952,69,63.0,18139662,51.0,20058510,7289,1002835,1,2023
Agora Hills,Scarlet,Doja Cat,2023-09-22,USRC12301954,99,152.8,509653100,66219,67521533,,48045203,986278,328562,88846508,544437406,1561456615,80.0,400206,14,78.0,9341155,39.0,23110274,19559,4295361,1,2023
Prada,Prada,cassï¿,2023-08-11,GBCEN2300147,100,152.5,609699748,128498,160755092,83.0,47611547,418343,283600,96934486,1090501901,113545664,129.0,123242,1570,167.0,15480679,100.0,1210830,1073,,1,2023
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,2024-05-02,GXD7G2413058,101,152.3,5157486,470,2924720,,1278618,27849,1100000,261000,3900000,,3.0,,,2.0,39366,,,,47658,0,2024
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,USAR12300323,102,152.1,242070373,37170,74130983,76.0,22907992,261664,2553106,312997953,3832221658,15593731,106.0,370635,5999,69.0,1792014,79.0,84425715,30713,2219984,0,2023
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364182,103,150.7,478150858,73306,51842133,78.0,113379734,1312763,1700998,182319546,2111289492,90954700,78.0,35330,39,56.0,15784760,53.0,17823388,12664,2255465,1,2023
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,2020-04-24,USSM12002399,104,150.5,61382407,7240,1708319,43.0,9977490,201210,37726462,9239474,147837262,,15.0,10152,,5.0,59317,1.0,,,3819161,0,2020
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,GBBKS2300080,105,150.4,460156070,163449,127827271,77.0,8183226,98257,530103,65920648,1032799567,56004473,,195140,,102.0,3034022,111.0,1132923,1312,9279625,0,2023
Training Season,Training Season,Dua Lipa,2024-02-15,GBAHT2301078,106,148.9,251153869,16811,92985554,76.0,66691067,961957,102884,34572688,431390500,2120552147,162.0,180711,57,127.0,33540073,116.0,10305245,3796,2047771,0,2024
Type Shit,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402033,107,148.1,205206688,28064,84737651,84.0,39453253,672789,,,,232440923,99.0,3432,45,41.0,2943724,47.0,5897303,4527,900933,1,2024
Armageddon,Armageddon - The 1st Album,aespa,2024-05-27,KRA302400093,108,147.4,32942304,1262,26204483,74.0,57861795,1257935,,,,29510774,37.0,290,6,5.0,530831,33.0,21869,48,29736,0,2024
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,USAT21906978,109,146.6,1911559785,317345,87765033,78.0,441257231,4829633,4930490,561201008,4574447121,2077511,255.0,296948,181,138.0,555650,28.0,295741432,633414,11988760,1,2019
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,USSM12104539,110,145.3,2014959725,354831,87942438,70.0,1003346208,16856186,1750366,915814897,9558947943,3191316960,360.0,245228,925,109.0,3242122,74.0,75167268,96430,12693846,1,2021
Pedro,Pedro - Single,Jaxomy,2024-03-29,DEE862400427,111,144.6,168145583,27654,159737263,85.0,35008949,717214,,,,39149568,107.0,4448,,158.0,16345999,54.0,39577,482,2408838,0,2024
Fast Car,Gettin' Old,Luke Combs,2023-03-24,US6XF2200436,112,144.5,518988585,73116,58391498,80.0,107703759,768813,354036,74258021,924204888,103658014,117.0,673629,59,67.0,8306302,104.0,184924061,88890,3108167,0,2023
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,2024-01-07,JPU902305042,113,144.0,247399972,22222,13870528,80.0,389540239,4392933,,22950364,296522040,1041035733,53.0,807,,18.0,357941,17.0,537267,1928,1069500,0,2024
Aesthetic,Aesthetic,Tollan Kim,2022-03-04,SGB502208576,114,144.0,5712985,2311,535908,44.0,3120073,56276,20114495,2452502310,33870791454,,4.0,22,,4.0,1397,1.0,21564,81,249823,0,2022
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,USUM71814888,116,143.9,3358704125,392082,123917182,79.0,2763188773,19410390,2714134,178829434,1597453878,484189798,351.0,273683,,86.0,809352,99.0,546367356,906813,1569935,0,2018
Hands,Hands,Dianï¿½,2022-08-01,GBKPL2205333,115,143.9,126914,8,212,1.0,2435813922,7208467,33,188,6415,26630093,,658,,,,,,,295,0,2022
