Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Year
Jaldi Chhoda Ghare Bullet Se,Jaldi Chhoda Ghare Bullet Se,Vinay Pandey Sanu,2023-03-10,ING642301152,1703,35.4,72880,3,10,6.0,392877223,1533010,,,,,,,,,,,,,6,0,2023
REINA,ESTRELLA,Mora,2023-08-28,QMDA62341722,1706,35.4,187631508,34204,17653536,,38229618,220372,,,,508209,25.0,12369,,13.0,352098,35.0,174322,235,296318,1,2023
ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,2022-10-17,USA2P2230329,1704,35.4,458713465,29686,8500191,70.0,263768312,4141652,208042,281057311,1964836293,180066740,23.0,2779,128,4.0,32620,25.0,959380,1848,575592,0,2022
This Girl (Kungs Vs. Cookin' On 3 Burners),This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2016-02-19,FR9W11601798,1719,35.3,1121107262,193004,76999574,75.0,638330025,4250668,33025,11942603,188481260,85138862,305.0,130612,163,268.0,1657869,35.0,125847639,49094,28279099,0,2016
Dreaming,Dreaming,Marshmello,2023-10-20,USRC12302211,1716,35.3,42151775,8420,9908087,,2897871,28056,1995,235368,4725722,13532423,28.0,133206,81,31.0,6416946,36.0,2632016,315,1043257,0,2023
Own Brand Freestyle,Own Brand Freestyle,FelixThe1st,2021-10-07,QZK6J2144340,1718,35.3,110291303,39905,6175231,52.0,32448901,528302,3800778,1197306073,11216028216,87467213,18.0,662,,5.0,9091,3.0,3946559,3976,2290647,1,2021
Pussy & Millions (feat. Travis Scott),Her Loss,Drake,2022-11-04,USUG12208607,1712,35.3,273457499,90842,21454523,67.0,13496528,220640,12342,7386007,67251486,1842707,15.0,27,,11.0,198898,5.0,15485649,2964,379631,1,2022
Sent Gamkauwa,Sent Gamkauwa,Shivani Singh,2023-05-19,ING642303429,1717,35.3,29424141,487,282647,62.0,319210127,1342225,393,17267,153512,182061559,,,,,,,,,13526,0,2023
Bulletproof,Bulletproof,Nate Smith,2024-02-09,USRN12300134,1710,35.3,32849769,3617,14360509,,3599335,30863,,,,195478256,20.0,54945,50,8.0,1583802,23.0,18349967,710,176994,0,2024
I Hope,I Hope,Gabby Barrett,2019-01-25,TCAEB1919657,1714,35.3,399778802,50441,13504790,66.0,271330319,1805049,104530,12630049,109246978,327733544,56.0,515961,174,5.0,1888,39.0,310282103,125616,4051237,0,2019
